AccountId,RecordTypeId,Name,StageName,CloseDate,Activity__c,Offer__c,CurrencyIsoCode,ChannelType__c
001IV000015S8jKYAS,012IV000001jKlBYAU,INEOS AUTOMOTIVE S.A.S - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewNYAS,012IV000001jKlBYAU,CAREA GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8j9YAC,012IV000001jKlBYAU,OTERRA FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6a7YAC,012IV000001jKlBYAU,GROUPE RIOLAND - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyE5YAK,012IV000001jKlBYAU,DPS BEAUNE (Groupe Dalloz) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8ilYAC,012IV000001jKlBYAU,SHERPA LOGISTIQUE (CALIDA GROUP) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85zYAC,012IV000001jKlBYAU,SMT ROTAREX - (SOCIETE DE MECANIQUE DES TILLES) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8imYAC,012IV000001jKlBYAU,BONNEFOY SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S508YAC,012IV000001jKlBYAU,VIANT MEDICAL - (CHAUMONT) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S50QYAS,012IV000001jKlBYAU,ANGDM - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8j0YAC,012IV000001jKlBYAU,SOCAMEL - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTjYAK,012IV000001jKlBYAU,HEINZ - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S86BYAS,012IV000001jKlBYAU,GRANDVISION - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8ioYAC,012IV000001jKlBYAU,MMP PACKETIS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6ZvYAK,012IV000001jKlBYAU,TOYO INK EUROPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8nKYAS,012IV000001jKlBYAU,MOY PARK - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAFiYAO,012IV000001jKlBYAU,BANQUE POPULAIRE MEDITERRANEE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8ipYAC,012IV000001jKlBYAU,CAISSE D'EPARGNE BOURGOGNE FRANCHE COMTE (CEBFC) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SADqYAO,012IV000001jKlBYAU,THUASNE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6a6YAC,012IV000001jKlBYAU,FMGC Groupe - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHxYAO,012IV000001jKlBYAU,VERNET - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8jIYAS,012IV000001jKlBYAU,DAGARD - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85lYAC,012IV000001jKlBYAU,REINE DE DIJON - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eEYAS,012IV000001jKlBYAU,GROUPE EUREDEN - (ex GROUPE D'AUCY - PEP sas) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8jEYAS,012IV000001jKlBYAU,TEXELIS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewKYAS,012IV000001jKlBYAU,CORDEN PHARMA CHENOVE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2e8YAC,012IV000001jKlBYAU,REYNAERS ALUMINIUM - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eZYAS,012IV000001jKlBYAU,EURIAL ULTRA-FRAIS - Château Salins - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2SRYA0,012IV000001jKlBYAU,GUERLAIN sas - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85uYAC,012IV000001jKlBYAU,FAIVELEY TECH BOURGOIN - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85wYAC,012IV000001jKlBYAU,FLOWBIRD - (ex PARKEON) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eMYAS,012IV000001jKlBYAU,EUREDEN (Société : AUBRET) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAFfYAO,012IV000001jKlBYAU,JEAN LARNAUDIE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6a4YAC,012IV000001jKlBYAU,CARBODY - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S86DYAS,012IV000001jKlBYAU,MDS sa - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTeYAK,012IV000001jKlBYAU,SOUCHIER BOULLET GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eUYAS,012IV000001jKlBYAU,WESER - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8irYAC,012IV000001jKlBYAU,PLASTIVALOIRE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eFYAS,012IV000001jKlBYAU,SAEM ENERGIES - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eNYAS,012IV000001jKlBYAU,BONGARD - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHmYAO,012IV000001jKlBYAU,SAMB - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8ifYAC,012IV000001jKlBYAU,CHARLES PERROUD - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyE2YAK,012IV000001jKlBYAU,ELECTROPOLI - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RzTXYA0,012IV000001jKlBYAU,URGO - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDpYAK,012IV000001jKlBYAU,HERBAROM - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S864YAC,012IV000001jKlBYAU,JOUSSEAU - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S6ZyYAK,012IV000001jKlBYAU,PDG PLASTIQUES - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewCYAS,012IV000001jKlBYAU,ROMAIRE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RhU7YAK,012IV000001jKlBYAU,ROVAL - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SJKeYAO,012IV000001jKlBYAU,SAMIBOIS SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S4lJYAS,012IV000001jKlBYAU,SAMIPLAST SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDkYAK,012IV000001jKlBYAU,SECMAIR - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAFgYAO,012IV000001jKlBYAU,SODEL LISIEUX - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2eHYAS,012IV000001jKlBYAU,SOPRONEM - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85tYAC,012IV000001jKlBYAU,MSSA SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015SAHRYA4,012IV000001jKlBYAU,GROUPE COFIDIS PARTICIPATIONS (SYNERGIE GEIE) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S85iYAC,012IV000001jKlBYAU,PAPIN GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
