"sf__Id","sf__Created",ChargeMap__c,Product__c,Name,LineDescription__c,BillingSchedule__c,Term__c,Quantity__c,Sales_unit_price__c,Amount__c,Status__c,StartDateRevRec__c,End_date__c,CurrencyIsoCode,PO_Required__c,Activated__c
"a01ci00000UvFZMAA3","true","a02ci00000Mob89AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","BERRY BEAUTE MAROLLES","Annual","In advance","1.0","1500.0","1500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZNAA3","true","a02ci00000Mob89AAB","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","BERRY BRAMLAGE","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZOAA3","true","a02ci00000Mob8AAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","2000.0","2000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZPAA3","true","a02ci00000Mob8BAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZQAA3","true","a02ci00000Mob8CAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZRAA3","true","a02ci00000Mob8DAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","2000.0","2000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZSAA3","true","a02ci00000Mob8EAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","2000.0","2000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZTAA3","true","a02ci00000Mob8FAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","500.0","500.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZUAA3","true","a02ci00000Mob8GAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","3000.0","3000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZVAA3","true","a02ci00000Mob8HAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","1000.0","1000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZWAA3","true","a02ci00000Mob8IAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","7000.0","7000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZXAA3","true","a02ci00000Mob8JAAR","01tIV00000GOfP6YAL","Redevance d'utilisation - ETP EU","","Annual","In advance","1.0","1080.0","1080.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZYAA3","true","a02ci00000Mob8KAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","2000.0","2000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZZAA3","true","a02ci00000Mob8LAAR","01tIV00000GOfP6YAL","Redevance d'utilisation - ETP EU","","Annual","In advance","1.0","1200.0","1200.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZaAAN","true","a02ci00000Mob8MAAR","01tIV00000GyVCbYAN","Redevance d'utilisation - Tranche 25 ETP - Cas 2","","Annual","In advance","1.0","2000.0","2000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
"a01ci00000UvFZbAAN","true","a02ci00000Mob8NAAR","01tIV00000GOfP1YAL","Redevance d'utilisation - Tranche 25 ETP - Cas 1","","Annual","In advance","1.0","2000.0","2000.0","Backlog","2026-01-01","2026-12-31","EUR","false","false"
