Id,NetsuiteId__c,Status__c
a04IV00000rHNLpYAO,19901,Paid In Full
a04IV00000rHNLqYAO,19902,Paid In Full
a04IV00000rHNLxYAO,19889,Paid In Full
a04IV00000rHNLrYAO,19903,Paid In Full
a04IV00000rHNLyYAO,19904,Paid In Full
a04IV00000rHNM5YAO,20584,Open
a04IV00000rHNMEYA4,20830,Paid In Full
a04IV00000rHNMJYA4,20585,Open
a04IV00000rHNMOYA4,20562,Paid In Full
a04IV00000rHNMRYA4,20396,Open
a04IV00000rHNMcYAO,20073,Paid In Full
a04IV00000rHNMdYAO,20080,Paid In Full
a04IV00000rHNMwYAO,20483,Open
a04IV00000rHNMyYAO,20937,Paid In Full
a04IV00000rHNMoYAO,20077,Paid In Full
a04IV00000rHNN3YAO,20212,Open
a04IV00000rHNN4YAO,20290,Paid In Full
a04IV00000rHNNAYA4,20590,Open
a04IV00000rHNNDYA4,20771,Open
a04IV00000rHNNEYA4,20804,Open
a04IV00000rHNNFYA4,20839,Paid In Full
a04IV00000rHNNLYA4,20092,Paid In Full
a04IV00000rHNNuYAO,19806,Paid In Full
a04IV00000rHNOUYA4,20316,Open
a04IV00000rHNObYAO,20412,Open
a04IV00000rHNOfYAO,20424,Paid In Full
a04IV00000rHNPDYA4,20851,Paid In Full
a04IV00000rHNPYYA4,19793,Paid In Full
a04IV00000rHNPZYA4,19827,Paid In Full
a04IV00000rHNPaYAO,19933,Paid In Full
a04IV00000rHNPbYAO,20098,Paid In Full
a04IV00000rHNPcYAO,20173,Paid In Full
a04IV00000rHNPXYA4,20199,Paid In Full
a04IV00000rHNPdYAO,20236,Paid In Full
a04IV00000rHNPeYAO,20261,Paid In Full
a04IV00000rHNPVYA4,20285,Paid In Full
a04IV00000rHNPfYAO,20369,Paid In Full
a04IV00000rHNPTYA4,20388,Paid In Full
a04IV00000rHNPgYAO,20441,Paid In Full
a04IV00000rHNPWYA4,20757,Paid In Full
a04IV00000rHNPhYAO,20807,Paid In Full
a04IV00000rHNPiYAO,20836,Paid In Full
a04IV00000rHNPUYA4,20892,Paid In Full
a04IV00000rHNPjYAO,20972,Paid In Full
a04IV00000rHNPxYAO,19748,Paid In Full
