Id,OwnerId,Name,CurrencyIsoCode,RecordTypeId,DeploymentStatus__c,Depotdansinbox__c,Dynamic__c,Options__c,ProdConnectionType__c,Recuperationdansinbox__c,Segment__c,SupportType__c,TESTConnectiontype__c,Type__c,Account__c,BusinessAlert__c,ClientComment__c,ClientIDPROD__c,ClientIDTEST__c,CommentaireCSP__c,Connectioncomment__c,DatePROD__c,DateTEST__c,EmissionFrequency__c,FiltrageIP__c,ID_interne_ETT_TEST__c,ID_interne_TdG__c,IDinterneEUTEST__c,IPPROD__c,IPTEST__c,IP_Filter_List__c,LibellETTTEST__c,LibellEUTEST__c,Opportunity__c,PartnerOffrePortal__c,PartnerPPE__c,PartnerPackApporte__c,ProductionName__c,Projects__c,SSOConnection__c,ScopePROD__c,Scope_TEST__c,Specificconnection__c,SupportTransferDate__c,TestID__c,UserPROD__c,UserTEST__c,VIPComments__c,VIP__c,VPNProd__c,VPNTEST__c,VersionGold__c,ServiceType__c,Go_live_Date_for_transactions__c,ProjectManger__c,Project_Director__c,CP__c,DP__c,Activity__c,Offer__c,ChannelPartner__c,Option__c,Administrator__c,AdministratorBackup__c,KeyContact__c,KeyContactBackup__c,TechnicalContact__c,TechnicalcontactAPI__c,GTAEditor__c,BackOfficeEditor__c,OtherTools__c,EditorComments__c,OldOffer__c,Description__c,ContractDate__c,Terminationdate__c,TerminationReceiptdate__c,TSCNotificationdate__c,Terminationcomment__c,ContractEndDate__c,Useraccessdeactivationdate__c,Externalcode__c
a1KAa0000033ksbMAA,005ci000000yZKfAAM,Pixid FR-Pack-EU,EUR,012IV000002Opt4YAC,,,,,,,,,,,001Aa00001c9f0sIAA,,,,,,,,,,false,,,,,,,,,006Aa00000TiRBvIAN,,false,,,,false,,,false,,,,,,false,false,false,,,,,,,,Pixid FR,Pack,001Aa00001c7SjoIAE,Standard,,,,,,,,,,,,,,,,,,,,
a1KAa0000033kxRMAQ,005ci000000yZKfAAM,Carerix-Reseller-EU,EUR,012Aa000008arsPIAQ,BUILD,,,,,,,,,,001Aa00001c9f0sIAA,,,,,,,,,,false,,,,,,,,,006Aa00000TiRBvIAN,,false,,,,false,,,false,,,,,,false,false,false,,,,,,,,Carerix,Reseller,001Aa00001c7SjoIAE,Standard,,,,,,,,,,,,,,,,,,,,
a1KAa0000035ZLFMA2,005ci000000yZKfAAM,Pixid FR-Technical-EU,EUR,012IV000002Opt4YAC,,,,,,,,,,,001Aa00001c9iMrIAI,,,,,,,,,,false,,,,,,,,,006Aa00000TtxjYIAR,,false,,,,false,,,false,,,,,,false,false,false,,,,,,,,Pixid FR,Technical,,,,,,,,,,,,,,,,,,,,,,
a1KAa0000035aSXMAY,005ci000000yZKfAAM,Pixid FR-GC-EU,EUR,012IV000002Opt4YAC,,,,,,,,,,,001Aa00001c9iMrIAI,,,,,,,,,,false,,,,,,,,,006Aa00000Tu4Q1IAJ,,false,,,,false,,,false,,,,,,false,false,false,,,,,,,,Pixid FR,GC,,,,,,,,,,,,,,,,,,,,,,
a1KAa0000035aVlMAI,005ci000000yZKfAAM,Pixid FR-Technical-EU,EUR,012IV000002Opt4YAC,,,,,,,,,,,001Aa00001c9iMrIAI,,,,,,,,,,false,,,,,,,,,006Aa00000TtxjYIAR,,false,,,,false,,,false,,,,,,false,false,false,,,,,,,,Pixid FR,Technical,,,,,,,,,,,,,,,,,,,,,,
a1KAa0000037ZqXMAU,005ci000000yZKfAAM,Pixid FR-Pack-EU,EUR,012IV000002Opt4YAC,,,,,,,,,,,001Aa00001dIo0VIAS,,,,,,,,,,false,,,,,,,,,006Aa00000U4ycDIAR,,false,,,,false,,,false,,,,,,false,false,false,,,,,,,,Pixid FR,Pack,,,,,,,,,,,,,,,,,,,,,,
